"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value"
"IND","CPI","TOT","AGRWTH","M","2010-01",16.21622
"IND","CPI","TOT","AGRWTH","M","2010-02",14.86487
"IND","CPI","TOT","AGRWTH","M","2010-03",14.86487
"IND","CPI","TOT","AGRWTH","M","2010-04",13.33333
"IND","CPI","TOT","AGRWTH","M","2010-05",13.90728
"IND","CPI","TOT","AGRWTH","M","2010-06",13.72549
"IND","CPI","TOT","AGRWTH","M","2010-07",11.25
"IND","CPI","TOT","AGRWTH","M","2010-08",9.876543
"IND","CPI","TOT","AGRWTH","M","2010-09",9.815951
"IND","CPI","TOT","AGRWTH","M","2010-10",9.69697
"IND","CPI","TOT","AGRWTH","M","2010-11",8.333333
"IND","CPI","TOT","AGRWTH","M","2010-12",9.467456
"IND","CPI","TOT","AGRWTH","M","2011-01",9.302325
"IND","CPI","TOT","AGRWTH","M","2011-02",8.823529
"IND","CPI","TOT","AGRWTH","M","2011-03",8.823529
"IND","CPI","TOT","AGRWTH","M","2011-04",9.411765
"IND","CPI","TOT","AGRWTH","M","2011-05",8.72093
"IND","CPI","TOT","AGRWTH","M","2011-06",8.620689
"IND","CPI","TOT","AGRWTH","M","2011-07",8.426967
"IND","CPI","TOT","AGRWTH","M","2011-08",8.988764
"IND","CPI","TOT","AGRWTH","M","2011-09",10.05587
"IND","CPI","TOT","AGRWTH","M","2011-10",9.392265
"IND","CPI","TOT","AGRWTH","M","2011-11",9.340659
"IND","CPI","TOT","AGRWTH","M","2011-12",6.486486
"IND","CPI","TOT","AGRWTH","M","2012-01",5.319149
"IND","CPI","TOT","AGRWTH","M","2012-02",7.567567
"IND","CPI","TOT","AGRWTH","M","2012-03",8.648648
"IND","CPI","TOT","AGRWTH","M","2012-04",10.21505
"IND","CPI","TOT","AGRWTH","M","2012-05",10.16043
"IND","CPI","TOT","AGRWTH","M","2012-06",10.05291
"IND","CPI","TOT","AGRWTH","M","2012-07",9.84456
"IND","CPI","TOT","AGRWTH","M","2012-08",10.30928
"IND","CPI","TOT","AGRWTH","M","2012-09",9.137055
"IND","CPI","TOT","AGRWTH","M","2012-10",9.59596
"IND","CPI","TOT","AGRWTH","M","2012-11",9.547739
"IND","CPI","TOT","AGRWTH","M","2012-12",11.16751
"IND","CPI","TOT","AGRWTH","M","2013-01",11.61616
"IND","CPI","TOT","AGRWTH","M","2013-02",12.0603
"IND","CPI","TOT","AGRWTH","M","2013-03",11.44279
"IND","CPI","TOT","AGRWTH","M","2013-04",10.2439
"IND","CPI","TOT","AGRWTH","M","2013-05",10.67961
"IND","CPI","TOT","AGRWTH","M","2013-06",11.05769
"IND","CPI","TOT","AGRWTH","M","2013-07",10.84906
"IND","CPI","TOT","AGRWTH","M","2013-08",10.74766
"IND","CPI","TOT","AGRWTH","M","2013-09",10.69767
"IND","CPI","TOT","AGRWTH","M","2013-10",11.05991
"IND","CPI","TOT","AGRWTH","M","2013-11",11.46789
"IND","CPI","TOT","AGRWTH","M","2013-12",9.132421
"IND","CPI","TOT","AGRWTH","M","2014-01",7.239819
"IND","CPI","TOT","AGRWTH","M","2014-02",6.726458
"IND","CPI","TOT","AGRWTH","M","2014-03",6.696429
"IND","CPI","TOT","AGRWTH","M","2014-04",7.079646
"IND","CPI","TOT","AGRWTH","M","2014-05",7.017544
"IND","CPI","TOT","AGRWTH","M","2014-06",6.493506
"IND","CPI","TOT","AGRWTH","M","2014-07",7.234043
"IND","CPI","TOT","AGRWTH","M","2014-08",6.751055
"IND","CPI","TOT","AGRWTH","M","2014-09",6.302521
"IND","CPI","TOT","AGRWTH","M","2014-10",4.979253
"IND","CPI","TOT","AGRWTH","M","2014-11",4.115226
"IND","CPI","TOT","AGRWTH","M","2014-12",5.85774
"IND","CPI","TOT","AGRWTH","M","2015-01",7.172996
"IND","CPI","TOT","AGRWTH","M","2015-02",6.302521
"IND","CPI","TOT","AGRWTH","M","2015-03",6.276151
"IND","CPI","TOT","AGRWTH","M","2015-04",5.785124
"IND","CPI","TOT","AGRWTH","M","2015-05",5.737705
"IND","CPI","TOT","AGRWTH","M","2015-06",6.097561
"IND","CPI","TOT","AGRWTH","M","2015-07",4.365079
"IND","CPI","TOT","AGRWTH","M","2015-08",4.347826
"IND","CPI","TOT","AGRWTH","M","2015-09",5.13834
"IND","CPI","TOT","AGRWTH","M","2015-10",6.324111
"IND","CPI","TOT","AGRWTH","M","2015-11",6.719368
"IND","CPI","TOT","AGRWTH","M","2015-12",6.324111
"IND","CPI","TOT","AGRWTH","M","2016-01",5.905512
"IND","CPI","TOT","AGRWTH","M","2016-02",5.533597
"IND","CPI","TOT","AGRWTH","M","2016-03",5.511811
"IND","CPI","TOT","AGRWTH","M","2016-04",5.859375
"IND","CPI","TOT","AGRWTH","M","2016-05",6.589147
"IND","CPI","TOT","AGRWTH","M","2016-06",6.130268
"IND","CPI","TOT","AGRWTH","M","2016-07",6.463878
"IND","CPI","TOT","AGRWTH","M","2016-08",5.30303
"IND","CPI","TOT","AGRWTH","M","2016-09",4.135338
"IND","CPI","TOT","AGRWTH","M","2016-10",3.345725
"IND","CPI","TOT","AGRWTH","M","2016-11",2.592592
"IND","CPI","TOT","AGRWTH","M","2016-12",2.230483
"IND","CPI","TOT","AGRWTH","M","2017-01",1.858736
"IND","CPI","TOT","AGRWTH","M","2017-02",2.621723
"IND","CPI","TOT","AGRWTH","M","2017-03",2.61194
"IND","CPI","TOT","AGRWTH","M","2017-04",2.214022
"IND","CPI","TOT","AGRWTH","M","2017-05",1.090909
"IND","CPI","TOT","AGRWTH","M","2017-06",1.083032
"IND","CPI","TOT","AGRWTH","M","2017-07",1.785714
"IND","CPI","TOT","AGRWTH","M","2017-08",2.517986
"IND","CPI","TOT","AGRWTH","M","2017-09",2.888087
"IND","CPI","TOT","AGRWTH","M","2017-10",3.23741
"IND","CPI","TOT","AGRWTH","M","2017-11",3.971119
"IND","CPI","TOT","AGRWTH","M","2017-12",4
"IND","CPI","TOT","AGRWTH","M","2018-01",5.109489
"IND","CPI","TOT","AGRWTH","M","2018-02",4.744525
"IND","CPI","TOT","AGRWTH","M","2018-03",4.363636
"IND","CPI","TOT","AGRWTH","M","2018-04",3.971119
"IND","CPI","TOT","AGRWTH","M","2018-05",3.956835
"IND","CPI","TOT","AGRWTH","M","2018-06",3.928571
"IND","CPI","TOT","AGRWTH","M","2018-07",5.614035
"IND","CPI","TOT","AGRWTH","M","2018-08",5.614035,